Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2085.030765
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2090.753461
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,58061.00167
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,89202.75054
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1222.878794
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,12252.2668
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,48801.68513
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,42098.64597
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,16439.29645
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13776.75585
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1537.936411
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,14516.45805
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6692.248375
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3548.828323
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2916.357349
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,17840.92105
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1437.208502
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,24262.18094
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5400.103826
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3663.969055
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3798.752777
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,48916.17657
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,61275.99827
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,14861.90917
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,12172.78516
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,833.8298757
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2176.776671
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23585.88563
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,764.3410034
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1606.472061
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,72794.00302
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2336.968134
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,515.9320918
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4408.520365
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Somaliland,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,445.7790165
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,9214.993546
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1644.480362
S. Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1645.472944
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,12394.92591
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,2449.333442
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,4836.332633
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,21087.8461
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,29200.81988
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,60238.98656
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4214.861688
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,13306.7256
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,24047.05471
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,696.4227755
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,9884.678914
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,9782.541967
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,992.3284294
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7233.388858
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,897.087902
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8100.572875
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1457.825128
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3611.601011
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,2176.776671
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1645.472944
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,15243.12287
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3924.343925
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9586.61245
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,5291.485244
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1135.539673
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,858.0575127
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,4835.571777
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,10835.52317
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,17020.64864
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,69287.53659
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1983.064723
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7996.614002
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,3694.019046
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3127.446248
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,12262.93462
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3939.113696
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4986.582469
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,690.759273
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6994.211654
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1120.630171
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1737.173977
